	sideefects
0	, complement fixation test positive
1	, aphthous stomatitis
2	, pterygium operation
3	, hanging
4	, trunk injury
5	, ultrafiltration failure
6	, aggression
7	, hyperoxia
8	, pregnancy test
9	, feeding problem in newborn
10	, epispadias
11	, platelet morphology abnormal
12	, secondary syphilis
13	, selective igg subclass deficiency
14	, rheumatoid arthritis
15	, transvestism
16	, screaming
17	, pseudophakic bullous keratopathy
18	, peliosis hepatis
19	, cryptophthalmos
20	, cor triatriatum
21	, le cells present
22	, dental cyst
23	, acrodysostosis
24	, serum sickness-like reaction
25	, miosis
26	, splinter
27	, meningism
28	, nitritoid crisis
29	, laryngeal nerve dysfunction
30	, osteolysis
31	, unevaluable event
32	, bone marrow ischaemia
33	, non-cardiogenic pulmonary oedema
34	, eye colour change
35	, faeces pale
36	, oesophageal fibrosis
37	, duodeno-jejunal bypass sleeve therapy
38	, back disorder
39	, merycism
40	, exposure to household chemicals
41	, venous ulcer pain
42	, cystitis-like symptom
43	,  mixed type
44	, coronary bypass stenosis
45	, vulvovaginal hypoaesthesia
46	, poverty
47	, stomach mass
48	, clubbing
49	, foetal growth abnormality
50	, infantile apnoea
51	, sexual assault victim
52	, muscle swelling
53	, barotrauma
54	, cardiac output
55	, choking
56	, septic shock
57	,  jealous type
58	, masked fever
59	, hydromyelia
60	, scan brain
61	, tooth loss
62	, dry skin
63	, anaesthesia dolorosa
64	, death of child
65	, acute fatty liver of pregnancy
66	, pelvic sepsis
67	, depressed level of consciousness
68	, denture wearer
69	, blindness hysterical
70	, hypoxia
71	, genetic polymorphism
72	, liver sarcoidosis
73	, vasectomy reversal
74	, sinus node dysfunction
75	, monorchidism
76	, alpha-1 acid glycoprotein increased
77	, naevus cell naevus
78	, joint hyperextension
79	, contracted bladder
80	, choreoathetosis
81	, device effect incomplete
82	, blood ph
83	, bubonic plague
84	, palatal operation
85	, vitreous injury
86	, psychotic behaviour
87	, large for dates baby
88	, pituitary gonadotropin hyperfunction
89	, premature ageing
90	, hypothyroidic goitre
91	, lividity
92	, miliaria
93	, trial of void
94	, metallosis of globe
95	, cyclitis
96	, candida pneumonia
97	, orthognathic surgery
98	, preoperative care
99	, osteoporosis prophylaxis
100	, struck by lightning
101	, progeria
102	, fragile x carrier
103	, perinatal brain damage
104	, sebaceous naevus
105	, teratoma
106	, cardiac arrest
107	, facioscapulohumeral muscular dystrophy
108	, fluorosis
109	, monoclonal gammopathy
110	, pneumonia
111	, thyroid b-cell lymphoma
112	, hysterical psychosis
113	, trigeminal nerve paresis
114	, onycholysis
115	, neck mass
116	, paraneoplastic pemphigus
117	, visual field tests
118	, glutamate dehydrogenase level abnormal
119	, blood grouping
120	, 17 ketosteroids urine decreased
121	, neurologic neglect syndrome
122	, portal shunt
123	, ketosis-prone diabetes mellitus
124	, urine ketone body
125	, neurosurgery
126	, gingival blister
127	, venomous sting
128	, foetal biophysical profile score
129	, bacteriuria in pregnancy
130	, diarrhoea neonatal
131	, ulcer
132	, vasectomy
133	, umbilical sepsis
134	, hemiplegic migraine
135	, langerhans cell sarcoma
136	, mammary fistula
137	, amyloidoma
138	, vital capacity abnormal
139	, haematemesis
140	, cystic eyeball
141	, clumsiness
142	, hyperkeratosis palmaris and plantaris
143	, catheter management
144	, protuberant ear
145	, developmental hip dysplasia
146	, bone swelling
147	, stomatocytes present
148	, head banging
149	, iridodialysis
150	, behavioural therapy
151	, pouchitis
152	, respiratory dyskinesia
153	, apocrine miliaria
154	, joint space narrowing
155	, pulmonary veno-occlusive disease
156	, poisoning
157	, accident
158	, nasopharyngitis
159	, bowenoid papulosis
160	, kidney rupture
161	, multi-organ failure
162	, scrub typhus
163	, eczema infected
164	, bulbar poliomyelitis
165	, pregnancy
166	, tremor neonatal
167	, crushing injury of hip
168	, canavan disease
169	, empyema
170	, halo vision
171	, post-traumatic headache
172	, nodular rash
173	, erythema
174	, acquired foramen magnum stenosis
175	, podagra
176	, ventouse extraction
177	, biliary fistula
178	, biopsy epididymis abnormal
179	, strongyloidiasis
180	, anhedonia
181	, kidney hypermobility
182	, hyposideraemia
183	, cardiac massage
184	, vasodilatation
185	, tobacco poisoning
186	, anogenital dysplasia
187	, tumour pain
188	, penile repair
189	, fascioliasis
190	, cows milk free diet
191	, eyelid boil
192	, unevaluable therapy
193	, urinary incontinence
194	, perfume sensitivity
195	, abscess of salivary gland
196	, ejaculation delayed
197	, caregiver
198	, overgrowth fungal
199	, buccal polyp
200	, subileus
201	, tendon injury
202	, xxx syndrome
203	, blood lactic acid
204	, peptic ulcer helicobacter
205	, pseudoporphyria
206	, crushing injury of trunk
207	, cholelithiasis obstructive
208	, fluid wave test
209	, early onset familial alzheimer^s disease
210	, scan
211	, diplopia
212	, oral torus
213	, blood urine
214	, vasopressive therapy
215	, effusion
216	, pseudophakodonesis
217	, sight disability
218	, myokymia
219	, compulsive cheek biting
220	, mammogram
221	, epiphyses premature fusion
222	, hepatic mass
223	, shunt aneurysm
224	, syphilis
225	, gastric emptying study
226	, bone fissure
227	, restlessness
228	, abscess limb
229	, hair injury
230	, marcus gunn syndrome
231	, medulloblastoma
232	, gne myopathy
