	sideefects
0	, complement fixation test positive
1	, aphthous stomatitis
2	, pterygium operation
3	, hanging
4	, trunk injury
5	, ultrafiltration failure
6	, aggression
7	, hyperoxia
8	, pregnancy test
9	, feeding problem in newborn
10	, epispadias
11	, polyneuropathy idiopathic progressive
12	, platelet morphology abnormal
13	, secondary syphilis
14	, selective igg subclass deficiency
15	, rheumatoid arthritis
16	, transvestism
17	, screaming
18	, pseudophakic bullous keratopathy
19	, peliosis hepatis
20	, cryptophthalmos
21	, cor triatriatum
22	, le cells present
23	, dental cyst
24	, acrodysostosis
25	, serum sickness-like reaction
26	, miosis
27	, peripheral arthritis
28	, splinter
29	, meningism
30	, nitritoid crisis
31	, uterine synechiae
32	, laryngeal nerve dysfunction
33	, osteolysis
34	, page kidney
35	, unevaluable event
36	, bone marrow ischaemia
37	, non-cardiogenic pulmonary oedema
38	, eye colour change
39	, faeces pale
40	, oesophageal fibrosis
41	, duodeno-jejunal bypass sleeve therapy
42	, oro-pharyngeal aspergillosis
43	, back disorder
44	, merycism
45	, exposure to household chemicals
46	, venous ulcer pain
47	, blood pressure difference of extremities
48	, cystitis-like symptom
49	, nail bed bleeding
50	, laparoscopy
51	,  mixed type
52	, coronary bypass stenosis
53	, vulvovaginal hypoaesthesia
54	, poverty
55	, stomach mass
56	, clubbing
57	, foetal growth abnormality
58	, infantile apnoea
59	, sexual assault victim
60	, muscle swelling
61	, barotrauma
62	, cardiac output
63	, choking
64	, septic shock
65	,  jealous type
66	, masked fever
67	, purulent synovitis
68	, hydromyelia
69	, scan brain
70	, tooth loss
71	, dry skin
72	, anaesthesia dolorosa
73	, death of child
74	, acute fatty liver of pregnancy
75	, pelvic sepsis
76	, depressed level of consciousness
77	, denture wearer
78	, blindness hysterical
79	, hypoxia
80	, genetic polymorphism
81	, liver sarcoidosis
82	, vasectomy reversal
83	, sinus node dysfunction
84	, monorchidism
85	, alpha-1 acid glycoprotein increased
86	, polyneuropathy alcoholic
87	, naevus cell naevus
88	, joint hyperextension
89	, contracted bladder
90	, choreoathetosis
91	, device effect incomplete
92	, blood ph
93	, bubonic plague
94	, palatal operation
95	, vitreous injury
96	, psychotic behaviour
97	, large for dates baby
98	, spinal anaesthesia
99	, pituitary gonadotropin hyperfunction
100	, premature ageing
101	, hypothyroidic goitre
102	, lividity
103	, miliaria
104	, trial of void
105	, metallosis of globe
106	, cyclitis
107	, candida pneumonia
108	, orthognathic surgery
109	, preoperative care
110	, osteoporosis prophylaxis
111	, struck by lightning
112	, progeria
113	, fragile x carrier
114	, perinatal brain damage
115	, sebaceous naevus
116	, neuropathic ulcer
117	, teratoma
118	, cardiac arrest
119	, facioscapulohumeral muscular dystrophy
120	, fluorosis
121	, ubiquinone decreased
122	, monoclonal gammopathy
123	, pneumonia
124	, thyroid b-cell lymphoma
125	, hysterical psychosis
126	, trigeminal nerve paresis
127	, onycholysis
128	, neck mass
129	, paraneoplastic pemphigus
130	, visual field tests
131	, glutamate dehydrogenase level abnormal
132	, blood grouping
133	, 17 ketosteroids urine decreased
134	, neurologic neglect syndrome
135	, portal shunt
136	, ketosis-prone diabetes mellitus
137	, urine ketone body
138	, euthyroid sick syndrome
139	, neurosurgery
140	, gingival blister
141	, venomous sting
142	, foetal biophysical profile score
143	, cold agglutinins
144	, bacteriuria in pregnancy
145	, diarrhoea neonatal
146	, ulcer
147	, vasectomy
148	, umbilical sepsis
149	, hemiplegic migraine
150	, langerhans cell sarcoma
151	, mammary fistula
152	, amyloidoma
153	, vital capacity abnormal
154	, haematemesis
155	, cystic eyeball
156	, clumsiness
157	, hyperkeratosis palmaris and plantaris
158	, catheter management
159	, haemoglobin a2
160	, protuberant ear
161	, developmental hip dysplasia
162	, bladder neoplasm surgery
163	, bone swelling
164	, stomatocytes present
165	, head banging
166	, iridodialysis
167	, behavioural therapy
168	, pouchitis
169	, respiratory dyskinesia
170	, apocrine miliaria
171	, joint space narrowing
172	, pulmonary veno-occlusive disease
173	, poisoning
174	, osteocalcin
175	, accident
176	, nasopharyngitis
177	, bowenoid papulosis
178	, kidney rupture
179	, multi-organ failure
180	, exposure via partner
181	, scrub typhus
182	, eczema infected
183	, bulbar poliomyelitis
184	, pregnancy
185	, tremor neonatal
186	, crushing injury of hip
187	, canavan disease
188	, empyema
189	, metastases to bone marrow
190	, halo vision
191	, post-traumatic headache
192	, nodular rash
193	, erythema
194	, acquired foramen magnum stenosis
195	, podagra
196	, ventouse extraction
197	, biliary fistula
198	, biopsy epididymis abnormal
199	, strongyloidiasis
200	, anhedonia
201	, kidney hypermobility
202	, hyposideraemia
203	, cardiac massage
204	, vasodilatation
205	, tobacco poisoning
206	, anogenital dysplasia
207	, accident at home
208	, tumour pain
209	, penile repair
210	, fascioliasis
211	, acquired growth hormone resistance
212	, cows milk free diet
213	, disorder of sex development
214	, vascular endothelial growth factor overexpression
215	, eyelid boil
216	, unevaluable therapy
217	, urinary incontinence
218	, perfume sensitivity
219	, abscess of salivary gland
220	, ejaculation delayed
221	, caregiver
222	, overgrowth fungal
223	, buccal polyp
224	, subileus
225	, tendon injury
226	, xxx syndrome
227	, blood lactic acid
