	sideefects
0	, complement fixation test positive
1	, aphthous stomatitis
2	, pterygium operation
3	, heterotopic pregnancy
4	, hanging
5	, trunk injury
6	, ultrafiltration failure
7	, aggression
8	, hyperoxia
9	, pregnancy test
10	, feeding problem in newborn
11	, epispadias
12	, polyneuropathy idiopathic progressive
13	, platelet morphology abnormal
14	, secondary syphilis
15	, reaction to previous exposure to any vaccine
16	, decompressive craniectomy
17	, selective igg subclass deficiency
18	, rheumatoid arthritis
19	, cardiomegaly
20	, transvestism
21	, echopraxia
22	, screaming
23	, pseudophakic bullous keratopathy
24	, peliosis hepatis
25	, cryptophthalmos
26	, cor triatriatum
27	, le cells present
28	, water intoxication
29	, culture wound
30	, dental cyst
31	, carotene abnormal
32	, supplementation therapy
33	, acrodysostosis
34	, serum sickness-like reaction
35	, atypical fibroxanthoma
36	, miosis
37	, peripheral arthritis
38	, splinter
39	, meningism
40	, nitritoid crisis
41	, uterine synechiae
42	, cardiac pacemaker removal
43	, laryngeal nerve dysfunction
44	, osteolysis
45	, page kidney
46	, unevaluable event
47	, bone marrow ischaemia
48	, non-cardiogenic pulmonary oedema
49	, eye colour change
50	, faeces pale
51	, oesophageal fibrosis
52	, duodeno-jejunal bypass sleeve therapy
53	, oro-pharyngeal aspergillosis
54	, back disorder
55	, merycism
56	, exposure to household chemicals
57	, venous ulcer pain
58	, blood pressure difference of extremities
59	, cystitis-like symptom
60	, seborrhoeic keratosis
61	, nail bed bleeding
62	, laparoscopy
63	,  mixed type
64	, coronary bypass stenosis
65	, vulvovaginal hypoaesthesia
66	, poverty
67	, stomach mass
68	, clubbing
69	, foetal growth abnormality
70	, infantile apnoea
71	, chlamydia test positive
72	, sexual assault victim
73	, muscle swelling
74	, radial head dislocation
75	, barotrauma
76	, agitation neonatal
77	, vulvovaginal human papilloma virus infection
78	, cardiac output
79	, choking
80	, septic shock
81	,  jealous type
82	, masked fever
83	, purulent synovitis
84	, hydromyelia
85	, scan brain
86	, tooth loss
87	, lupus hepatitis
88	, dry skin
89	, anaesthesia dolorosa
90	, death of child
91	, acute fatty liver of pregnancy
92	, pelvic sepsis
93	, depressed level of consciousness
94	, alveolitis allergic
95	, denture wearer
96	, mesenteric artery embolism
97	, optic nerve sheath haemorrhage
98	, blindness hysterical
99	, hypoxia
100	, genetic polymorphism
101	, liver sarcoidosis
102	, vasectomy reversal
103	, sinus node dysfunction
104	, monorchidism
105	, alpha-1 acid glycoprotein increased
106	, urethral intrinsic sphincter deficiency
107	, polyneuropathy alcoholic
108	, naevus cell naevus
109	, oxygen consumption
110	, joint hyperextension
111	, contracted bladder
112	, choreoathetosis
113	, device effect incomplete
114	, cerebral septic infarct
115	, blood ph
116	, bubonic plague
117	, palatal operation
118	, vitreous injury
119	, psychotic behaviour
120	, large for dates baby
121	, oesophageal ph increased
122	, spinal anaesthesia
123	, feeling abnormal
124	, pituitary gonadotropin hyperfunction
125	, premature ageing
126	, cavernous sinus syndrome
127	, hypothyroidic goitre
128	, lividity
129	, miliaria
130	, trial of void
131	, metallosis of globe
132	, cyclitis
133	, candida pneumonia
134	, orthognathic surgery
135	, preoperative care
136	, osteoporosis prophylaxis
137	, mastitis
138	, struck by lightning
139	, progeria
140	, fragile x carrier
141	, perinatal brain damage
142	, sebaceous naevus
143	, scan lymph nodes
144	, perichondritis
145	, small cell lung cancer
146	, neuropathic ulcer
147	, teratoma
148	, cardiac arrest
149	, abortion spontaneous
150	, facioscapulohumeral muscular dystrophy
151	, fluorosis
152	, ubiquinone decreased
153	, monoclonal gammopathy
154	, pneumonia
155	, thyroid b-cell lymphoma
156	, hysterical psychosis
157	, trigeminal nerve paresis
158	, onycholysis
159	, neck mass
160	, paraneoplastic pemphigus
161	, visual field tests
162	, glutamate dehydrogenase level abnormal
163	, blood grouping
164	, 17 ketosteroids urine decreased
165	, neurologic neglect syndrome
166	, hydropneumothorax
167	, portal shunt
168	, ketosis-prone diabetes mellitus
169	, urine ketone body
170	, euthyroid sick syndrome
171	, neurosurgery
172	, gingival blister
173	, venomous sting
174	, foetal biophysical profile score
175	, vascular injury
176	, cold agglutinins
177	, bacteriuria in pregnancy
178	, diarrhoea neonatal
179	, ulcer
180	, ectopic kidney
181	, vasectomy
182	, umbilical sepsis
183	, hemiplegic migraine
184	, langerhans cell sarcoma
185	, mammary fistula
186	, amyloidoma
187	, vital capacity abnormal
188	, thyroid gland cancer
189	, vitreous degeneration
190	, haematemesis
191	, cystic eyeball
192	, orbital pseudotumour
193	, clumsiness
194	, hyperkeratosis palmaris and plantaris
195	, auditory recruitment
196	, catheter management
197	, haemoglobin a2
198	, protuberant ear
199	, developmental hip dysplasia
200	, bladder neoplasm surgery
201	, bone swelling
202	, stomatocytes present
203	, head banging
204	, iridodialysis
205	, atypical fracture
206	, behavioural therapy
207	, incision site complication
208	, pouchitis
209	, respiratory dyskinesia
210	, apocrine miliaria
211	, joint space narrowing
212	, mononuclear cell count abnormal
213	, tumour perforation
214	, pulmonary veno-occlusive disease
215	, hypovolaemic shock
216	, poisoning
217	, peritumoural oedema
218	, osteocalcin
219	, accident
220	, otitis externa fungal
