	sideefects
0	, complement fixation test positive
1	, aphthous stomatitis
2	, pterygium operation
3	, hanging
4	, trunk injury
5	, ultrafiltration failure
6	, aggression
7	, hyperoxia
8	, pregnancy test
9	, feeding problem in newborn
10	, epispadias
11	, polyneuropathy idiopathic progressive
12	, platelet morphology abnormal
13	, secondary syphilis
14	, selective igg subclass deficiency
15	, rheumatoid arthritis
16	, transvestism
17	, echopraxia
18	, screaming
19	, pseudophakic bullous keratopathy
20	, peliosis hepatis
21	, cryptophthalmos
22	, cor triatriatum
23	, le cells present
24	, dental cyst
25	, acrodysostosis
26	, serum sickness-like reaction
27	, miosis
28	, peripheral arthritis
29	, splinter
30	, meningism
31	, nitritoid crisis
32	, uterine synechiae
33	, laryngeal nerve dysfunction
34	, osteolysis
35	, page kidney
36	, unevaluable event
37	, bone marrow ischaemia
38	, non-cardiogenic pulmonary oedema
39	, eye colour change
40	, faeces pale
41	, oesophageal fibrosis
42	, duodeno-jejunal bypass sleeve therapy
43	, oro-pharyngeal aspergillosis
44	, back disorder
45	, merycism
46	, exposure to household chemicals
47	, venous ulcer pain
48	, blood pressure difference of extremities
49	, cystitis-like symptom
50	, nail bed bleeding
51	, laparoscopy
52	,  mixed type
53	, coronary bypass stenosis
54	, vulvovaginal hypoaesthesia
55	, poverty
56	, stomach mass
57	, clubbing
58	, foetal growth abnormality
59	, infantile apnoea
60	, sexual assault victim
61	, muscle swelling
62	, barotrauma
63	, agitation neonatal
64	, vulvovaginal human papilloma virus infection
65	, cardiac output
66	, choking
67	, septic shock
68	,  jealous type
69	, masked fever
70	, purulent synovitis
71	, hydromyelia
72	, scan brain
73	, tooth loss
74	, lupus hepatitis
75	, dry skin
76	, anaesthesia dolorosa
77	, death of child
78	, acute fatty liver of pregnancy
79	, pelvic sepsis
80	, depressed level of consciousness
81	, denture wearer
82	, blindness hysterical
83	, hypoxia
84	, genetic polymorphism
85	, liver sarcoidosis
86	, vasectomy reversal
87	, sinus node dysfunction
88	, monorchidism
89	, alpha-1 acid glycoprotein increased
90	, polyneuropathy alcoholic
91	, naevus cell naevus
92	, oxygen consumption
93	, joint hyperextension
94	, contracted bladder
95	, choreoathetosis
96	, device effect incomplete
97	, blood ph
98	, bubonic plague
99	, palatal operation
100	, vitreous injury
101	, psychotic behaviour
102	, large for dates baby
103	, oesophageal ph increased
104	, spinal anaesthesia
105	, pituitary gonadotropin hyperfunction
106	, premature ageing
107	, hypothyroidic goitre
108	, lividity
109	, miliaria
110	, trial of void
111	, metallosis of globe
112	, cyclitis
113	, candida pneumonia
114	, orthognathic surgery
115	, preoperative care
116	, osteoporosis prophylaxis
117	, struck by lightning
118	, progeria
119	, fragile x carrier
120	, perinatal brain damage
121	, sebaceous naevus
122	, neuropathic ulcer
123	, teratoma
124	, cardiac arrest
125	, facioscapulohumeral muscular dystrophy
126	, fluorosis
127	, ubiquinone decreased
128	, monoclonal gammopathy
129	, pneumonia
130	, thyroid b-cell lymphoma
131	, hysterical psychosis
132	, trigeminal nerve paresis
133	, onycholysis
134	, neck mass
135	, paraneoplastic pemphigus
136	, visual field tests
137	, glutamate dehydrogenase level abnormal
138	, blood grouping
139	, 17 ketosteroids urine decreased
140	, neurologic neglect syndrome
141	, hydropneumothorax
142	, portal shunt
143	, ketosis-prone diabetes mellitus
144	, urine ketone body
145	, euthyroid sick syndrome
146	, neurosurgery
147	, gingival blister
148	, venomous sting
149	, foetal biophysical profile score
150	, cold agglutinins
151	, bacteriuria in pregnancy
152	, diarrhoea neonatal
153	, ulcer
154	, vasectomy
155	, umbilical sepsis
156	, hemiplegic migraine
157	, langerhans cell sarcoma
158	, mammary fistula
159	, amyloidoma
160	, vital capacity abnormal
161	, thyroid gland cancer
162	, haematemesis
163	, cystic eyeball
164	, orbital pseudotumour
165	, clumsiness
166	, hyperkeratosis palmaris and plantaris
167	, auditory recruitment
168	, catheter management
169	, haemoglobin a2
170	, protuberant ear
171	, developmental hip dysplasia
172	, bladder neoplasm surgery
173	, bone swelling
174	, stomatocytes present
175	, head banging
176	, iridodialysis
177	, behavioural therapy
178	, pouchitis
179	, respiratory dyskinesia
180	, apocrine miliaria
181	, joint space narrowing
182	, pulmonary veno-occlusive disease
183	, poisoning
184	, osteocalcin
185	, accident
186	, nasopharyngitis
187	, bowenoid papulosis
188	, kidney rupture
189	, multi-organ failure
190	, exposure via partner
191	, scrub typhus
192	, eczema infected
193	, bulbar poliomyelitis
194	, pregnancy
195	, tremor neonatal
196	, crushing injury of hip
197	, canavan disease
198	, vascular pseudoaneurysm ruptured
199	, empyema
200	, metastases to bone marrow
201	, halo vision
202	, post-traumatic headache
203	, nodular rash
204	, vaginal polyp
205	, erythema
206	, acquired foramen magnum stenosis
207	, podagra
208	, ventouse extraction
209	, biliary fistula
210	, biopsy epididymis abnormal
211	, strongyloidiasis
212	, anhedonia
213	, kidney hypermobility
214	, hyposideraemia
215	, cardiac massage
216	, choking sensation
217	, vasodilatation
218	, tobacco poisoning
219	, anogenital dysplasia
220	, accident at home
221	, keratoplasty
222	, tumour pain
223	, penile repair
224	, fascioliasis
225	, acquired growth hormone resistance
