	sideefects
0	, complement fixation test positive
1	, aphthous stomatitis
2	, pterygium operation
3	, hanging
4	, trunk injury
5	, ultrafiltration failure
6	, aggression
7	, hyperoxia
8	, pregnancy test
9	, feeding problem in newborn
10	, epispadias
11	, platelet morphology abnormal
12	, secondary syphilis
13	, selective igg subclass deficiency
14	, transvestism
15	, screaming
16	, pseudophakic bullous keratopathy
17	, cryptophthalmos
18	, cor triatriatum
19	, le cells present
20	, dental cyst
21	, acrodysostosis
22	, serum sickness-like reaction
23	, miosis
24	, splinter
25	, meningism
26	, nitritoid crisis
27	, laryngeal nerve dysfunction
28	, osteolysis
29	, unevaluable event
30	, bone marrow ischaemia
31	, non-cardiogenic pulmonary oedema
32	, eye colour change
33	, faeces pale
34	, oesophageal fibrosis
35	, duodeno-jejunal bypass sleeve therapy
36	, back disorder
37	, merycism
38	, exposure to household chemicals
39	, venous ulcer pain
40	, cystitis-like symptom
41	,  mixed type
42	, vulvovaginal hypoaesthesia
43	, poverty
44	, stomach mass
45	, clubbing
46	, infantile apnoea
47	, sexual assault victim
48	, muscle swelling
49	, barotrauma
50	, cardiac output
51	, choking
52	, septic shock
53	,  jealous type
54	, masked fever
55	, hydromyelia
56	, scan brain
57	, tooth loss
58	, dry skin
59	, anaesthesia dolorosa
60	, death of child
61	, acute fatty liver of pregnancy
62	, pelvic sepsis
63	, depressed level of consciousness
64	, denture wearer
65	, blindness hysterical
66	, hypoxia
67	, genetic polymorphism
68	, vasectomy reversal
69	, sinus node dysfunction
70	, monorchidism
71	, alpha-1 acid glycoprotein increased
72	, naevus cell naevus
73	, joint hyperextension
74	, contracted bladder
75	, choreoathetosis
76	, device effect incomplete
77	, blood ph
78	, bubonic plague
79	, palatal operation
80	, vitreous injury
81	, psychotic behaviour
82	, large for dates baby
83	, pituitary gonadotropin hyperfunction
84	, premature ageing
85	, hypothyroidic goitre
86	, lividity
87	, miliaria
88	, trial of void
89	, metallosis of globe
90	, cyclitis
91	, candida pneumonia
92	, orthognathic surgery
93	, preoperative care
94	, osteoporosis prophylaxis
95	, struck by lightning
96	, progeria
97	, fragile x carrier
98	, sebaceous naevus
99	, teratoma
100	, cardiac arrest
101	, facioscapulohumeral muscular dystrophy
102	, fluorosis
103	, monoclonal gammopathy
104	, pneumonia
105	, hysterical psychosis
106	, trigeminal nerve paresis
107	, onycholysis
108	, neck mass
109	, paraneoplastic pemphigus
110	, visual field tests
111	, glutamate dehydrogenase level abnormal
112	, blood grouping
113	, neurologic neglect syndrome
114	, ketosis-prone diabetes mellitus
115	, urine ketone body
116	, neurosurgery
117	, gingival blister
118	, venomous sting
119	, foetal biophysical profile score
120	, bacteriuria in pregnancy
121	, diarrhoea neonatal
122	, ulcer
123	, vasectomy
124	, umbilical sepsis
125	, hemiplegic migraine
126	, langerhans cell sarcoma
127	, mammary fistula
128	, amyloidoma
129	, vital capacity abnormal
130	, haematemesis
131	, cystic eyeball
132	, clumsiness
133	, hyperkeratosis palmaris and plantaris
134	, catheter management
135	, protuberant ear
136	, bone swelling
137	, stomatocytes present
138	, head banging
139	, iridodialysis
140	, behavioural therapy
141	, pouchitis
142	, poisoning
143	, accident
144	, nasopharyngitis
145	, bowenoid papulosis
146	, kidney rupture
147	, scrub typhus
148	, eczema infected
149	, bulbar poliomyelitis
150	, pregnancy
151	, tremor neonatal
152	, crushing injury of hip
153	, canavan disease
154	, empyema
155	, halo vision
156	, post-traumatic headache
157	, nodular rash
158	, erythema
159	, acquired foramen magnum stenosis
160	, podagra
161	, ventouse extraction
162	, biliary fistula
163	, biopsy epididymis abnormal
164	, strongyloidiasis
165	, anhedonia
166	, kidney hypermobility
167	, hyposideraemia
168	, cardiac massage
169	, vasodilatation
170	, tobacco poisoning
171	, tumour pain
172	, penile repair
173	, fascioliasis
174	, cows milk free diet
175	, eyelid boil
176	, unevaluable therapy
177	, urinary incontinence
178	, perfume sensitivity
179	, abscess of salivary gland
180	, ejaculation delayed
181	, caregiver
182	, overgrowth fungal
183	, buccal polyp
184	, subileus
185	, tendon injury
186	, xxx syndrome
187	, blood lactic acid
188	, peptic ulcer helicobacter
189	, pseudoporphyria
190	, crushing injury of trunk
191	, fluid wave test
192	, early onset familial alzheimer^s disease
193	, scan
194	, diplopia
195	, oral torus
196	, blood urine
197	, vasopressive therapy
198	, effusion
199	, pseudophakodonesis
200	, sight disability
201	, myokymia
202	, compulsive cheek biting
203	, mammogram
204	, epiphyses premature fusion
205	, hepatic mass
206	, shunt aneurysm
207	, syphilis
208	, gastric emptying study
209	, bone fissure
210	, restlessness
211	, abscess limb
212	, hair injury
213	, marcus gunn syndrome
214	, gne myopathy
215	, lymphogranuloma venereum
216	, adductor vocal cord weakness
217	, metastases to pituitary gland
218	, dilutional coagulopathy
219	, glossectomy
220	, uv light therapy
221	, iris coloboma
222	, urticaria
223	, alpha-1 anti-trypsin
224	, oncocytoma
225	, jejunal ulcer
226	, testicular microlithiasis
227	, base excess negative
228	, impulsive behaviour
229	, duodenal polyp
230	, risus sardonicus
231	, jaw operation
232	, sudden onset of sleep
233	, suspiciousness
234	, ectopic ureter
235	, fontanelle depressed
